country,category,brand_name,wikidata_id,opening_rule,opening_hours,description,source_url,opening_hours_url
DE,bakery,Back-Factory,Q21200483,closed,,,https://www.back-factory.de/wir-sind-bald-wieder-da/wir-sind-bald-wieder-da.html,
DE,bakery,BackWerk,Q798298,partial,,,https://www.back-werk.de/,https://www.back-werk.de/standorte/
DE,bakery,Ditsch,Q911573,partial,,,,https://www.ditsch.de/de/shops/
DE,bakery,Hofpfisterei,Q1623217,open,,,https://www.hofpfisterei.de/,https://www.hofpfisterei.de/verkaufsstellen
DE,bakery,Junge,,open,,,https://www.jb.de/das-unternehmen-junge/das-ist-junge/gemeinsamstark/,
DE,bakery,Kamps,Q1723381,partial,,,https://kamps.de/standorte,https://kamps.de/standorte
DE,bakery,Le Crobag,Q1558025,partial,,,,https://www.lecrobag.de/shops-de/standorte.html
DE,bakery,Schäfer's,Q1464562,open,,,,https://www.schaefers-brot.de/filialen/
DE,bakery,Steinecke,Q57516278,open,,,,https://www.steinecke.info/filialen
DE,bank,Berliner Sparkasse,Q821760,partial,,,https://www.berliner-sparkasse.de/de/home/ihre-sparkasse/hinweise-zum-corona-virus.html,https://www.berliner-sparkasse.de/de/home/ihre-sparkasse/hinweise-zum-corona-virus.html
DE,bank,Braunschweigische Landessparkasse,Q902027,partial,,,https://www.blsk.de/de/home/aktionen/informationen-zum-coronavirus.html,https://www.blsk.de/de/home/toolbar/filialen.html
DE,bank,Commerzbank,Q157617,partial,,,https://www.commerzbank.de/portal/de/privatkunden/hilfe-kontakt/services/aktuelle-meldungen-corona.html,https://www.commerzbank.de/portal/media/a-20-themen/corona-virus/geoeffnete-Filalen.pdf
DE,bank,Deutsche Bank,Q66048,partial,,,https://www.deutsche-bank.de/pk/Corona-update.html,https://www.deutsche-bank.de/pfb/content/pk-filialsuche.html
DE,bank,Erzgebirgssparkasse,Q1366150,partial,,,https://www.erzgebirgssparkasse.de/de/home/ihre-sparkasse/aktuelle-information--corona-.html,https://www.erzgebirgssparkasse.de/de/home/ihre-sparkasse/aktuelle-information--corona-.html
DE,bank,Frankfurter Sparkasse,Q1445030,partial,,,https://www.frankfurter-sparkasse.de/de/home/aktionen/info-zum-coronavirus.html,https://www.frankfurter-sparkasse.de/de/home/ihre-sparkasse/service-und-kontakt/filiale-finden.html
DE,bank,Hamburger Sparkasse,Q1573140,open_adapted,,,https://www.haspa.de/de/home/services-und-hilfe/informationen-zum-coronavirus.html,https://www.haspa.de/content/dam/myif/haspa/work/dokumente/pdf/haspa/presse/filialen-oeffnungszeiten.pdf
DE,bank,HypoVereinsbank,Q220189,partial,,,https://www.hypovereinsbank.de/hvb/services/aktuelle-hinweise#parsys_contact_bar,https://www.hypovereinsbank.de/hvb/kontaktwege/filiale
DE,bank,Kreissparkasse Böblingen,Q1290595,partial,,,https://www.kskbb.de/de/home/aktionen/notfallplanung.html,https://www.kskbb.de/de/home/service/filiale-finden.html
DE,bank,Kreissparkasse Esslingen-Nürtingen,Q1492852,partial,,,https://www.ksk-es.de/de/home/aktionen/informationen-zum-coronavirus.html,https://www.ksk-es.de/de/home/toolbar/filialen.html
DE,bank,Kreissparkasse Heilbronn,Q1787781,partial,,,https://www.sparkasse-heilbronn.de/de/home/aktionen/corona.html,https://www.sparkasse-heilbronn.de/de/home/service/filiale-finden.html
DE,bank,Kreissparkasse Köln,Q1787788,partial,,,https://www.ksk-koeln.de/de/home/aktionen/informationen-zum-coronavirus.html,https://www.ksk-koeln.de/de/home/service/filiale-finden.html
